Name,Line,Direction,Station from (A),From (RODS name),From (NLC),Station to (B),To (RODS name),To (NLC),Capacity,Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Metropolitan Westbound: Ickenham to Hillingdon,Metropolitan,Westbound,ICKENHAM,Ickenham,615,HILLINGDON,Hillingdon,606,15045,1.08,1.75,2.00,2.00
Metropolitan Westbound: Hillingdon to Uxbridge,Metropolitan,Westbound,HILLINGDON,Hillingdon,606,UXBRIDGE,Uxbridge,740,15045,2.03,4.08,4.02,3.54
Metropolitan Westbound: Harrow-on-the-Hill to North Harrow,Metropolitan,Westbound,HARROW-ON-THE-HILL,Harrow-on-the-Hill,598,NORTH HARROW,North Harrow,656,15045,2.00,3.18,3.00,3.00
Metropolitan Westbound: North Harrow to Pinner,Metropolitan,Westbound,NORTH HARROW,North Harrow,656,PINNER,Pinner,675,15045,1.48,2.00,2.50,2.50
Metropolitan Westbound: Pinner to Northwood Hills,Metropolitan,Westbound,PINNER,Pinner,675,NORTHWOOD HILLS,Northwood Hills,662,15045,2.08,2.60,2.50,2.50
Metropolitan Westbound: Northwood Hills to Northwood,Metropolitan,Westbound,NORTHWOOD HILLS,Northwood Hills,662,NORTHWOOD,Northwood,661,15045,1.61,2.23,2.50,2.50
Metropolitan Westbound: Northwood to Moor Park,Metropolitan,Westbound,NORTHWOOD,Northwood,661,MOOR PARK,Moor Park,646,15045,2.22,2.55,3.00,3.00
Metropolitan Westbound: Harrow-on-the-Hill to Moor Park,Metropolitan,Westbound,HARROW-ON-THE-HILL,Harrow-on-the-Hill,598,MOOR PARK,Moor Park,646,15045,9.39,9.03,9.50,9.50
Metropolitan Westbound: Moor Park to Croxley,Metropolitan,Westbound,MOOR PARK,Moor Park,646,CROXLEY,Croxley,554,15045,2.94,4.33,4.50,4.50
Metropolitan Westbound: Croxley to Watford,Metropolitan,Westbound,CROXLEY,Croxley,554,WATFORD,Watford,748,15045,1.90,3.60,3.60,3.50
Metropolitan Westbound: Moor Park to Rickmansworth,Metropolitan,Westbound,MOOR PARK,Moor Park,646,RICKMANSWORTH,Rickmansworth,687,15045,3.49,4.13,5.00,5.00
Metropolitan Westbound: Rickmansworth to Chorleywood,Metropolitan,Westbound,RICKMANSWORTH,Rickmansworth,687,CHORLEYWOOD,Chorleywood,546,15045,3.38,4.03,4.00,4.00
Metropolitan Westbound: Chorleywood to Chalfont & Latimer,Metropolitan,Westbound,CHORLEYWOOD,Chorleywood,546,CHALFONT & LATIMER,Chalfont & Latimer,539,15045,3.43,3.95,4.68,4.50
Metropolitan Westbound: Chalfont & Latimer to Chesham,Metropolitan,Westbound,CHALFONT & LATIMER,Chalfont & Latimer,539,CHESHAM,Chesham,543,15045,6.19,9.48,8.64,8.50
Metropolitan Westbound: Chalfont & Latimer to Amersham,Metropolitan,Westbound,CHALFONT & LATIMER,Chalfont & Latimer,539,AMERSHAM,Amersham,506,15045,3.27,4.07,4.00,4.00
Metropolitan Eastbound: Amersham to Chalfont & Latimer,Metropolitan,Eastbound,AMERSHAM,Amersham,506,CHALFONT & LATIMER,Chalfont & Latimer,539,15045,3.27,3.65,4.00,4.00
Metropolitan Eastbound: Chesham to Chalfont & Latimer,Metropolitan,Eastbound,CHESHAM,Chesham,543,CHALFONT & LATIMER,Chalfont & Latimer,539,15045,6.19,9.63,9.00,8.50
Metropolitan Eastbound: Chalfont & Latimer to Chorleywood,Metropolitan,Eastbound,CHALFONT & LATIMER,Chalfont & Latimer,539,CHORLEYWOOD,Chorleywood,546,15045,3.43,3.68,4.00,4.00
Metropolitan Eastbound: Chorleywood to Rickmansworth,Metropolitan,Eastbound,CHORLEYWOOD,Chorleywood,546,RICKMANSWORTH,Rickmansworth,687,15045,3.38,4.07,4.50,4.58
Metropolitan Eastbound: Rickmansworth to Moor Park,Metropolitan,Eastbound,RICKMANSWORTH,Rickmansworth,687,MOOR PARK,Moor Park,646,15045,3.49,3.78,4.50,4.50
Metropolitan Eastbound: Watford to Croxley,Metropolitan,Eastbound,WATFORD,Watford,748,CROXLEY,Croxley,554,15045,1.90,3.22,3.00,3.00
Metropolitan Eastbound: Croxley to Moor Park,Metropolitan,Eastbound,CROXLEY,Croxley,554,MOOR PARK,Moor Park,646,15045,2.94,4.42,4.00,4.00
Metropolitan Eastbound: Moor Park to Northwood,Metropolitan,Eastbound,MOOR PARK,Moor Park,646,NORTHWOOD,Northwood,661,15045,2.22,2.87,3.00,3.00
Metropolitan Eastbound: Northwood to Northwood Hills,Metropolitan,Eastbound,NORTHWOOD,Northwood,661,NORTHWOOD HILLS,Northwood Hills,662,15045,1.61,2.20,2.50,2.50
Metropolitan Eastbound: Northwood Hills to Pinner,Metropolitan,Eastbound,NORTHWOOD HILLS,Northwood Hills,662,PINNER,Pinner,675,15045,2.08,2.48,2.50,2.50
Metropolitan Eastbound: Pinner to North Harrow,Metropolitan,Eastbound,PINNER,Pinner,675,NORTH HARROW,North Harrow,656,15045,1.48,2.08,2.85,2.50
Metropolitan Eastbound: North Harrow to Harrow-on-the-Hill,Metropolitan,Eastbound,NORTH HARROW,North Harrow,656,HARROW-ON-THE-HILL,Harrow-on-the-Hill,598,15045,2.00,3.08,4.57,4.49
Metropolitan Eastbound: Moor Park to Harrow-on-the-Hill,Metropolitan,Eastbound,MOOR PARK,Moor Park,646,HARROW-ON-THE-HILL,Harrow-on-the-Hill,598,15045,9.39,9.62,10.00,10.00
Metropolitan Eastbound: Uxbridge to Hillingdon,Metropolitan,Eastbound,UXBRIDGE,Uxbridge,740,HILLINGDON,Hillingdon,606,15045,2.03,3.00,3.00,3.00
Metropolitan Eastbound: Hillingdon to Ickenham,Metropolitan,Eastbound,HILLINGDON,Hillingdon,606,ICKENHAM,Ickenham,615,15045,1.08,1.73,2.00,2.00
Metropolitan Eastbound: Ickenham to Ruislip,Metropolitan,Eastbound,ICKENHAM,Ickenham,615,RUISLIP,Ruislip,691,15045,1.85,2.45,2.50,2.50
Metropolitan Eastbound: Ruislip to Ruislip Manor,Metropolitan,Eastbound,RUISLIP,Ruislip,691,RUISLIP MANOR,Ruislip Manor,693,15045,0.72,1.45,1.50,1.50
Metropolitan Eastbound: Ruislip Manor to Eastcote,Metropolitan,Eastbound,RUISLIP MANOR,Ruislip Manor,693,EASTCOTE,Eastcote,564,15045,1.14,1.82,2.00,2.00
Metropolitan Eastbound: Eastcote to Rayners Lane,Metropolitan,Eastbound,EASTCOTE,Eastcote,564,RAYNERS LANE,Rayners Lane,683,15045,1.72,2.33,3.00,3.00
Metropolitan Eastbound: Rayners Lane to West Harrow,Metropolitan,Eastbound,RAYNERS LANE,Rayners Lane,683,WEST HARROW,West Harrow,759,15045,1.38,2.08,2.00,2.00
Metropolitan Eastbound: West Harrow to Harrow-on-the-Hill,Metropolitan,Eastbound,WEST HARROW,West Harrow,759,HARROW-ON-THE-HILL,Harrow-on-the-Hill,598,15045,1.26,2.15,3.85,4.00
Metropolitan Eastbound: Harrow-on-the-Hill to Finchley Road,Metropolitan,Eastbound,HARROW-ON-THE-HILL,Harrow-on-the-Hill,598,FINCHLEY ROAD,Finchley Road,579,15045,11.63,10.15,11.50,11.50
Metropolitan Eastbound: Harrow-on-the-Hill to Northwick Park,Metropolitan,Eastbound,HARROW-ON-THE-HILL,Harrow-on-the-Hill,598,NORTHWICK PARK,Northwick Park,660,15045,1.29,1.90,2.00,2.00
Metropolitan Eastbound: Northwick Park to Preston Road,Metropolitan,Eastbound,NORTHWICK PARK,Northwick Park,660,PRESTON ROAD,Preston Road,677,15045,1.64,2.05,2.35,2.00
Metropolitan Eastbound: Preston Road to Wembley Park,Metropolitan,Eastbound,PRESTON ROAD,Preston Road,677,WEMBLEY PARK,Wembley Park,752,15045,1.46,1.98,2.55,2.53
Metropolitan Eastbound: Wembley Park to Finchley Road,Metropolitan,Eastbound,WEMBLEY PARK,Wembley Park,752,FINCHLEY ROAD,Finchley Road,579,15045,7.24,7.00,7.32,7.52
Metropolitan Eastbound: Finchley Road to Baker Street,Metropolitan,Eastbound,FINCHLEY ROAD,Finchley Road,579,BAKER STREET (METROPOLITAN),Baker Street,511,15045,3.38,6.13,7.11,6.40
Metropolitan Eastbound: Baker Street to Great Portland Street,Metropolitan,Eastbound,BAKER STREET (METROPOLITAN),Baker Street,511,GREAT PORTLAND STREET,Great Portland Street,588,15045,0.92,1.98,2.00,2.00
Metropolitan Eastbound: Great Portland Street to Euston Square,Metropolitan,Eastbound,GREAT PORTLAND STREET,Great Portland Street,588,EUSTON SQUARE,Euston Square,575,15045,0.61,1.25,1.50,1.50
Metropolitan Eastbound: Euston Square to King's Cross St. Pancras,Metropolitan,Eastbound,EUSTON SQUARE,Euston Square,575,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,15045,0.85,1.75,2.00,2.00
Metropolitan Eastbound: King's Cross St. Pancras to Farringdon,Metropolitan,Eastbound,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,FARRINGDON,Farringdon,577,15045,1.85,2.98,3.50,3.50
Metropolitan Eastbound: Farringdon to Barbican,Metropolitan,Eastbound,FARRINGDON,Farringdon,577,BARBICAN,Barbican,501,15045,0.51,1.22,1.50,1.50
Metropolitan Eastbound: Barbican to Moorgate,Metropolitan,Eastbound,BARBICAN,Barbican,501,MOORGATE,Moorgate,645,15045,0.63,1.32,1.50,1.50
Metropolitan Eastbound: Moorgate to Liverpool Street,Metropolitan,Eastbound,MOORGATE,Moorgate,645,LIVERPOOL STREET,Liverpool Street,634,15045,0.51,1.18,1.99,1.53
Metropolitan Eastbound: Liverpool Street to Aldgate,Metropolitan,Eastbound,LIVERPOOL STREET,Liverpool Street,634,ALDGATE,Aldgate,502,15045,0.61,2.18,2.01,2.20
H & C Eastbound: Hammersmith (H&C) to Goldhawk Road,H & C,Eastbound,HAMMERSMITH (H&C),Hammersmith (H&C),773,GOLDHAWK ROAD,Goldhawk Road,585,6488,0.82,2.05,2.00,2.00
H & C Eastbound: Goldhawk Road to Shepherd's Bush Market,H & C,Eastbound,GOLDHAWK ROAD,Goldhawk Road,585,SHEPHERDS BUSH,Shepherd's Bush Market,775,6488,0.51,1.15,1.50,1.50
H & C Eastbound: Shepherd's Bush Market to Wood Lane,H & C,Eastbound,SHEPHERDS BUSH,Shepherd's Bush Market,775,,Wood Lane,599,6488,0.51,0.82,1.18,1.18
H & C Eastbound: Wood Lane to Latimer Road,H & C,Eastbound,,Wood Lane,599,LATIMER ROAD,Latimer Road,630,6488,0.25,0.41,0.78,1.18
H & C Eastbound: Latimer Road to Ladbroke Grove,H & C,Eastbound,LATIMER ROAD,Latimer Road,630,LADBROKE GROVE,Ladbroke Grove,627,6488,0.66,1.37,1.50,1.50
H & C Eastbound: Ladbroke Grove to Westbourne Park,H & C,Eastbound,LADBROKE GROVE,Ladbroke Grove,627,WESTBOURNE PARK,Westbourne Park,754,6488,0.79,1.48,1.50,1.50
H & C Eastbound: Westbourne Park to Royal Oak,H & C,Eastbound,WESTBOURNE PARK,Westbourne Park,754,ROYAL OAK,Royal Oak,690,6488,0.98,1.78,2.00,2.00
H & C Eastbound: Royal Oak to Paddington,H & C,Eastbound,ROYAL OAK,Royal Oak,690,PADDINGTON (H&C),Paddington,670,6488,0.64,1.52,2.00,2.00
H & C Eastbound: Paddington to Edgware Road (Cir),H & C,Eastbound,PADDINGTON (H&C),Paddington,670,EDGWARE ROAD,Edgware Road (Cir),569,6488,0.93,2.33,3.71,3.72
H & C Eastbound: Edgware Road (Cir) to Baker Street,H & C,Eastbound,EDGWARE ROAD,Edgware Road (Cir),569,BAKER STREET ,Baker Street,511,6488,0.72,1.47,2.84,2.50
H & C Eastbound: Baker Street to Great Portland Street,H & C,Eastbound,BAKER STREET ,Baker Street,511,GREAT PORTLAND STREET,Great Portland Street,588,6488,0.92,1.90,2.00,2.00
H & C Eastbound: Great Portland Street to Euston Square,H & C,Eastbound,GREAT PORTLAND STREET,Great Portland Street,588,EUSTON SQUARE,Euston Square,575,6488,0.61,1.25,1.50,1.50
H & C Eastbound: Euston Square to King's Cross St. Pancras,H & C,Eastbound,EUSTON SQUARE,Euston Square,575,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,6488,0.85,1.75,2.00,2.00
H & C Eastbound: King's Cross St. Pancras to Farringdon,H & C,Eastbound,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,FARRINGDON,Farringdon,577,6488,1.85,2.98,3.50,3.50
H & C Eastbound: Farringdon to Barbican,H & C,Eastbound,FARRINGDON,Farringdon,577,BARBICAN,Barbican,501,6488,0.51,1.22,1.50,1.50
H & C Eastbound: Barbican to Moorgate,H & C,Eastbound,BARBICAN,Barbican,501,MOORGATE,Moorgate,645,6488,0.64,1.32,1.53,1.50
H & C Eastbound: Moorgate to Liverpool Street,H & C,Eastbound,MOORGATE,Moorgate,645,LIVERPOOL STREET,Liverpool Street,634,6488,0.51,1.18,1.95,1.51
H & C Eastbound: Liverpool Street to Aldgate East,H & C,Eastbound,LIVERPOOL STREET,Liverpool Street,634,ALDGATE EAST,Aldgate East,503,6488,0.92,1.93,3.14,2.78
H & C Eastbound: Aldgate East to Whitechapel,H & C,Eastbound,ALDGATE EAST,Aldgate East,503,WHITECHAPEL,Whitechapel,763,6488,0.82,2.17,2.50,2.01
H & C Eastbound: Whitechapel to Stepney Green,H & C,Eastbound,WHITECHAPEL,Whitechapel,763,STEPNEY GREEN,Stepney Green,715,6488,1.00,2.05,2.00,2.00
H & C Eastbound: Stepney Green to Mile End,H & C,Eastbound,STEPNEY GREEN,Stepney Green,715,MILE END,Mile End,642,6488,1.05,1.73,2.00,2.00
H & C Eastbound: Mile End to Bow Road,H & C,Eastbound,MILE END,Mile End,642,BOW ROAD,Bow Road,528,6488,0.55,1.27,1.50,1.50
H & C Eastbound: Bow Road to Bromley-by-Bow,H & C,Eastbound,BOW ROAD,Bow Road,528,BROMLEY BY BOW,Bromley-by-Bow,530,6488,1.01,2.12,2.00,2.00
H & C Eastbound: Bromley-by-Bow to West Ham,H & C,Eastbound,BROMLEY BY BOW,Bromley-by-Bow,530,WEST HAM,West Ham,757,6488,1.37,2.00,2.00,2.00
H & C Eastbound: West Ham to Plaistow,H & C,Eastbound,WEST HAM,West Ham,757,PLAISTOW,Plaistow,676,6488,0.76,1.43,2.26,2.04
H & C Eastbound: Plaistow to Upton Park,H & C,Eastbound,PLAISTOW,Plaistow,676,UPTON PARK,Upton Park,739,6488,1.29,1.97,2.00,2.00
H & C Eastbound: Upton Park to East Ham,H & C,Eastbound,UPTON PARK,Upton Park,739,EAST HAM,East Ham,566,6488,1.40,2.02,2.00,2.00
H & C Eastbound: East Ham to Barking,H & C,Eastbound,EAST HAM,East Ham,566,BARKING,Barking,514,6488,2.29,3.78,3.60,3.49
H & C Westbound: Barking to East Ham,H & C,Westbound,BARKING,Barking,514,EAST HAM,East Ham,566,6488,2.29,2.87,3.00,3.00
H & C Westbound: East Ham to Upton Park,H & C,Westbound,EAST HAM,East Ham,566,UPTON PARK,Upton Park,739,6488,1.40,2.00,2.50,2.50
H & C Westbound: Upton Park to Plaistow,H & C,Westbound,UPTON PARK,Upton Park,739,PLAISTOW,Plaistow,676,6488,1.29,1.93,2.00,2.00
H & C Westbound: Plaistow to West Ham,H & C,Westbound,PLAISTOW,Plaistow,676,WEST HAM,West Ham,757,6488,0.76,1.50,1.50,1.50
H & C Westbound: West Ham to Bromley-by-Bow,H & C,Westbound,WEST HAM,West Ham,757,BROMLEY BY BOW,Bromley-by-Bow,530,6488,1.37,2.12,2.00,2.00
H & C Westbound: Bromley-by-Bow to Bow Road,H & C,Westbound,BROMLEY BY BOW,Bromley-by-Bow,530,BOW ROAD,Bow Road,528,6488,1.01,2.23,2.50,2.50
H & C Westbound: Bow Road to Mile End,H & C,Westbound,BOW ROAD,Bow Road,528,MILE END,Mile End,642,6488,0.55,1.27,1.50,1.50
H & C Westbound: Mile End to Stepney Green,H & C,Westbound,MILE END,Mile End,642,STEPNEY GREEN,Stepney Green,715,6488,1.05,1.72,2.00,2.00
H & C Westbound: Stepney Green to Whitechapel,H & C,Westbound,STEPNEY GREEN,Stepney Green,715,WHITECHAPEL,Whitechapel,763,6488,1.00,2.63,3.48,2.56
H & C Westbound: Whitechapel to Aldgate East,H & C,Westbound,WHITECHAPEL,Whitechapel,763,ALDGATE EAST,Aldgate East,503,6488,0.82,2.18,2.45,2.06
H & C Westbound: Aldgate East to Liverpool Street,H & C,Westbound,ALDGATE EAST,Aldgate East,503,LIVERPOOL STREET,Liverpool Street,634,6488,0.92,2.12,3.02,3.88
H & C Westbound: Liverpool Street to Moorgate,H & C,Westbound,LIVERPOOL STREET,Liverpool Street,634,MOORGATE,Moorgate,645,6488,0.51,1.32,1.50,1.50
H & C Westbound: Moorgate to Barbican,H & C,Westbound,MOORGATE,Moorgate,645,BARBICAN,Barbican,501,6488,0.64,1.38,1.50,1.50
H & C Westbound: Barbican to Farringdon,H & C,Westbound,BARBICAN,Barbican,501,FARRINGDON,Farringdon,577,6488,0.51,1.20,1.92,1.51
H & C Westbound: Farringdon to King's Cross St. Pancras,H & C,Westbound,FARRINGDON,Farringdon,577,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,6488,1.85,3.12,3.50,3.50
H & C Westbound: King's Cross St. Pancras to Euston Square,H & C,Westbound,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,EUSTON SQUARE,Euston Square,575,6488,0.85,1.65,2.00,2.00
H & C Westbound: Euston Square to Great Portland Street,H & C,Westbound,EUSTON SQUARE,Euston Square,575,GREAT PORTLAND STREET,Great Portland Street,588,6488,0.61,1.30,1.50,1.50
H & C Westbound: Great Portland Street to Baker Street,H & C,Westbound,GREAT PORTLAND STREET,Great Portland Street,588,BAKER STREET ,Baker Street,511,6488,0.92,1.57,2.90,2.07
H & C Westbound: Baker Street to Edgware Road (Cir),H & C,Westbound,BAKER STREET ,Baker Street,511,EDGWARE ROAD,Edgware Road (Cir),569,6488,0.72,1.88,3.60,3.08
H & C Westbound: Edgware Road (Cir) to Paddington,H & C,Westbound,EDGWARE ROAD,Edgware Road (Cir),569,PADDINGTON (H&C),Paddington,670,6488,0.93,2.08,2.00,2.00
H & C Westbound: Paddington to Royal Oak,H & C,Westbound,PADDINGTON (H&C),Paddington,670,ROYAL OAK,Royal Oak,690,6488,0.64,1.33,1.50,1.50
H & C Westbound: Royal Oak to Westbourne Park,H & C,Westbound,ROYAL OAK,Royal Oak,690,WESTBOURNE PARK,Westbourne Park,754,6488,0.98,1.72,2.00,2.00
H & C Westbound: Westbourne Park to Ladbroke Grove,H & C,Westbound,WESTBOURNE PARK,Westbourne Park,754,LADBROKE GROVE,Ladbroke Grove,627,6488,0.79,1.48,1.50,1.50
H & C Westbound: Ladbroke Grove to Latimer Road,H & C,Westbound,LADBROKE GROVE,Ladbroke Grove,627,LATIMER ROAD,Latimer Road,630,6488,0.66,1.28,1.50,1.50
H & C Westbound: Latimer Road to Shepherd's Bush Market,H & C,Westbound,LATIMER ROAD,Latimer Road,630,,Wood Lane,599,6488,0.51,0.85,1.15,1.15
H & C Westbound: Wood Lane to Goldhawk Road,H & C,Westbound,,Wood Lane,599,SHEPHERDS BUSH,Shepherd's Bush Market,775,6488,0.51,0.85,1.15,1.15
H & C Westbound: Shepherd's Bush Market to Goldhawk Road,H & C,Westbound,SHEPHERDS BUSH,Shepherd's Bush Market,775,GOLDHAWK ROAD,Goldhawk Road,585,6488,0.51,1.15,1.00,1.00
H & C Westbound: Goldhawk Road to Hammersmith (H&C),H & C,Westbound,GOLDHAWK ROAD,Goldhawk Road,585,HAMMERSMITH (H&C),Hammersmith (H&C),773,6488,0.82,2.43,3.07,3.03
Circle  Inner: Edgware Road (Cir) to Paddington,Circle ,Inner,EDGWARE ROAD,Edgware Road (Cir),569,PADDINGTON (CIRCLE),Paddington,670,6488,0.82,1.85,2.00,2.00
Circle  Inner: Paddington to Bayswater,Circle ,Inner,PADDINGTON (CIRCLE),Paddington,670,BAYSWATER,Bayswater,517,6488,0.98,1.65,2.00,2.00
Circle  Inner: Bayswater to Notting Hill Gate,Circle ,Inner,BAYSWATER,Bayswater,517,NOTTING HILL GATE,Notting Hill Gate,663,6488,0.79,1.47,2.00,2.00
Circle  Inner: Notting Hill Gate to High Street Kensington,Circle ,Inner,NOTTING HILL GATE,Notting Hill Gate,663,HIGH STREET KENSINGTON,High Street Kensington,605,6488,0.93,1.58,3.57,3.36
Circle  Inner: High Street Kensington to Gloucester Road,Circle ,Inner,HIGH STREET KENSINGTON,High Street Kensington,605,GLOUCESTER ROAD,Gloucester Road,583,6488,0.93,1.80,2.66,2.90
Circle  Inner: Gloucester Road to South Kensington,Circle ,Inner,GLOUCESTER ROAD,Gloucester Road,583,SOUTH KENSINGTON,South Kensington,708,6488,0.74,1.43,1.50,1.50
Circle  Inner: South Kensington to Sloane Square,Circle ,Inner,SOUTH KENSINGTON,South Kensington,708,SLOANE SQUARE,Sloane Square,702,6488,1.22,1.98,2.00,2.00
Circle  Inner: Sloane Square to Victoria,Circle ,Inner,SLOANE SQUARE,Sloane Square,702,VICTORIA,Victoria,741,6488,1.05,1.80,2.00,2.00
Circle  Inner: Victoria to St. James's Park,Circle ,Inner,VICTORIA,Victoria,741,ST JAMES PARK,St. James's Park,695,6488,0.72,1.42,1.50,1.50
Circle  Inner: St. James's Park to Westminster,Circle ,Inner,ST JAMES PARK,St. James's Park,695,WESTMINSTER,Westminster,761,6488,0.76,1.50,2.00,2.00
Circle  Inner: Westminster to Embankment,Circle ,Inner,WESTMINSTER,Westminster,761,EMBANKMENT,Embankment,542,6488,0.69,1.37,2.00,2.00
Circle  Inner: Embankment to Temple,Circle ,Inner,EMBANKMENT,Embankment,542,TEMPLE,Temple,724,6488,0.71,1.37,2.00,2.00
Circle  Inner: Temple to Blackfriars,Circle ,Inner,TEMPLE,Temple,724,BLACKFRIARS,Blackfriars,521,6488,0.76,1.40,2.00,2.00
Circle  Inner: Blackfriars to Mansion House,Circle ,Inner,BLACKFRIARS,Blackfriars,521,MANSION HOUSE,Mansion House,639,6488,0.61,1.52,1.95,1.52
Circle  Inner: Mansion House to Cannon Street,Circle ,Inner,MANSION HOUSE,Mansion House,639,CANNON STREET,Cannon Street,536,6488,0.31,0.98,1.00,1.00
Circle  Inner: Cannon Street to Bank / Monument,Circle ,Inner,CANNON STREET,Cannon Street,536,MONUMENT,Bank / Monument,513,6488,0.34,0.97,1.50,1.50
Circle  Inner: Bank / Monument to Tower Hill,Circle ,Inner,MONUMENT,Bank / Monument,513,TOWER HILL,Tower Hill,731,6488,0.68,1.80,2.00,2.07
Circle  Inner: Tower Hill to Aldgate,Circle ,Inner,TOWER HILL,Tower Hill,731,ALDGATE,Aldgate,502,6488,0.50,1.30,4.05,3.18
Circle  Inner: Aldgate to Liverpool Street,Circle ,Inner,ALDGATE,Aldgate,502,LIVERPOOL STREET,Liverpool Street,634,6488,0.61,1.75,2.00,2.42
Circle  Inner: Liverpool Street to Moorgate,Circle ,Inner,LIVERPOOL STREET,Liverpool Street,634,MOORGATE,Moorgate,645,6488,0.51,1.32,1.50,1.50
Circle  Inner: Moorgate to Barbican,Circle ,Inner,MOORGATE,Moorgate,645,BARBICAN,Barbican,501,6488,0.64,1.38,1.50,1.50
Circle  Inner: Barbican to Farringdon,Circle ,Inner,BARBICAN,Barbican,501,FARRINGDON,Farringdon,577,6488,0.51,1.20,1.92,1.51
Circle  Inner: Farringdon to King's Cross St. Pancras,Circle ,Inner,FARRINGDON,Farringdon,577,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,6488,1.85,3.12,3.50,3.50
Circle  Inner: King's Cross St. Pancras to Euston Square,Circle ,Inner,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,EUSTON SQUARE,Euston Square,575,6488,0.85,1.65,2.00,2.00
Circle  Inner: Euston Square to Great Portland Street,Circle ,Inner,EUSTON SQUARE,Euston Square,575,GREAT PORTLAND STREET,Great Portland Street,588,6488,0.61,1.30,1.50,1.50
Circle  Inner: Great Portland Street to Baker Street,Circle ,Inner,GREAT PORTLAND STREET,Great Portland Street,588,BAKER STREET (CIRCLE),Baker Street,511,6488,0.92,1.57,2.90,2.07
Circle  Inner: Baker Street to Edgware Road (Cir),Circle ,Inner,BAKER STREET ,Baker Street,511,EDGWARE ROAD,Edgware Road (Cir),569,6488,0.72,1.88,3.60,3.08
Circle  Outer: Edgware Road (Cir) to Baker Street,Circle ,Outer,EDGWARE ROAD,Edgware Road (Cir),569,BAKER STREET ,Baker Street,511,6488,0.72,1.47,2.84,2.50
Circle  Outer: Baker Street to Great Portland Street,Circle ,Outer,BAKER STREET ,Baker Street,511,GREAT PORTLAND STREET,Great Portland Street,588,6488,0.92,1.90,2.00,2.00
Circle  Outer: Great Portland Street to Euston Square,Circle ,Outer,GREAT PORTLAND STREET,Great Portland Street,588,EUSTON SQUARE,Euston Square,575,6488,0.61,1.25,1.50,1.50
Circle  Outer: Euston Square to King's Cross St. Pancras,Circle ,Outer,EUSTON SQUARE,Euston Square,575,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,6488,0.85,1.75,2.00,2.00
Circle  Outer: King's Cross St. Pancras to Farringdon,Circle ,Outer,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,FARRINGDON,Farringdon,577,6488,1.85,2.98,3.50,3.50
Circle  Outer: Farringdon to Barbican,Circle ,Outer,FARRINGDON,Farringdon,577,BARBICAN,Barbican,501,6488,0.51,1.22,1.50,1.50
Circle  Outer: Barbican to Moorgate,Circle ,Outer,BARBICAN,Barbican,501,MOORGATE,Moorgate,645,6488,0.64,1.32,1.53,1.50
Circle  Outer: Moorgate to Liverpool Street,Circle ,Outer,MOORGATE,Moorgate,645,LIVERPOOL STREET,Liverpool Street,634,6488,0.51,1.18,1.95,1.51
Circle  Outer: Liverpool Street to Aldgate,Circle ,Outer,LIVERPOOL STREET,Liverpool Street,634,ALDGATE,Aldgate,502,6488,0.61,2.18,2.55,2.51
Circle  Outer: Aldgate to Tower Hill,Circle ,Outer,ALDGATE,Aldgate,502,TOWER HILL,Tower Hill,731,6488,0.50,1.37,2.02,2.10
Circle  Outer: Tower Hill to Bank / Monument,Circle ,Outer,TOWER HILL,Tower Hill,731,MONUMENT,Bank / Monument,513,6488,0.68,1.48,1.50,1.50
Circle  Outer: Bank / Monument to Cannon Street,Circle ,Outer,MONUMENT,Bank / Monument,513,CANNON STREET,Cannon Street,536,6488,0.34,0.88,1.00,1.00
Circle  Outer: Cannon Street to Mansion House,Circle ,Outer,CANNON STREET,Cannon Street,536,MANSION HOUSE,Mansion House,639,6488,0.31,0.93,1.50,1.50
Circle  Outer: Mansion House to Blackfriars,Circle ,Outer,MANSION HOUSE,Mansion House,639,BLACKFRIARS,Blackfriars,521,6488,0.61,1.22,1.52,1.50
Circle  Outer: Blackfriars to Temple,Circle ,Outer,BLACKFRIARS,Blackfriars,521,TEMPLE,Temple,724,6488,0.76,1.37,1.50,1.50
Circle  Outer: Temple to Embankment,Circle ,Outer,TEMPLE,Temple,724,EMBANKMENT,Embankment,542,6488,0.71,1.43,2.00,2.01
Circle  Outer: Embankment to Westminster,Circle ,Outer,EMBANKMENT,Embankment,542,WESTMINSTER,Westminster,761,6488,0.69,1.40,1.50,1.50
Circle  Outer: Westminster to St. James's Park,Circle ,Outer,WESTMINSTER,Westminster,761,ST JAMES PARK,St. James's Park,695,6488,0.76,1.52,1.50,1.50
Circle  Outer: St. James's Park to Victoria,Circle ,Outer,ST JAMES PARK,St. James's Park,695,VICTORIA,Victoria,741,6488,0.72,1.33,2.00,2.00
